,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,0,5,True,20,1,0.8300215472439025,3600.009089946747,2614.0,143.690961870882
1,1,5,True,20,1,0.8804924319257096,3600.0037081241608,2102.0,232.7939214728686
2,2,5,True,20,1,0.7738956060284227,3600.0047430992126,2369.0,116.56287056953252
3,3,5,True,20,1,0.9059583479455889,3600.420951128006,2689.0,399.02869735971603
4,4,5,True,20,1,0.8311083964725909,3600.0093970298767,2760.0,155.13899589560702
5,0,5,True,20,2,,,,
6,1,5,True,20,2,,,,
7,2,5,True,20,2,0.7910365651108562,3600.0081140995026,2033.0,132.34877386217067
8,3,5,True,20,2,0.9054337745870247,3600.0056478977203,1322.0,239.08546834276729
9,4,5,True,20,2,0.8823598911739361,3600.008616924286,1381.0,188.55443511506016
10,0,5,True,20,3,0.8690088527502364,3600.0037047863007,1065.0,156.3369780967302
11,1,5,True,20,3,,,,
12,2,5,True,20,3,0.7601432820046999,3600.003597021103,1763.0,86.95404405770094
13,3,5,True,20,3,,,,
14,4,5,True,20,3,,,,
15,0,5,True,30,1,0.8944566293446892,3600.042855978012,2711.0,298.45765463086025
16,1,5,True,30,1,0.8469675592525419,3600.0088198184967,2486.0,189.3401521128299
17,2,5,True,30,1,0.8177886065456492,3600.0341498851776,2391.0,132.9137011176781
18,3,5,True,30,1,0.8398233966851092,3600.017158985138,2564.0,161.51503096882442
19,4,5,True,30,1,0.7967910372671668,3600.0138199329376,2669.0,129.09816741723844
20,0,5,True,30,2,0.7897606288636696,3600.038780927658,1536.0,110.02616758621716
21,1,5,True,30,2,0.7391831249417153,3600.0034379959106,1813.0,115.11870284841258
22,2,5,True,30,2,0.8379961870966917,3600.0051169395447,1759.0,126.59824564176414
23,3,5,True,30,2,0.7633307814514734,3600.0043749809265,1656.0,92.12396853489086
24,4,5,True,30,2,0.7928778831975217,3600.001396894455,2059.0,108.86022394624125
25,0,5,True,30,3,0.7957952038040357,3600.004289150238,1428.0,99.58765251744647
26,1,5,True,30,3,0.8823090976863543,3600.0064129829407,1729.0,151.3790497610737
27,2,5,True,30,3,0.8615428790403562,3600.0054318904877,1807.0,184.24170476866954
28,3,5,True,30,3,0.7796495432931704,3600.008146047592,1554.0,121.68687577489179
29,4,5,True,30,3,0.820553051089354,3600.0058369636536,1219.0,129.55785999774733
30,0,5,True,40,1,0.8240711058243896,3600.007061958313,2572.0,139.31768008181803
31,1,5,True,40,1,0.7930026644647044,3600.009572982788,2441.0,121.19194787015707
32,2,5,True,40,1,0.772412629475716,3600.012815952301,2949.0,139.68775023459764
33,3,5,True,40,1,0.8089506588437834,3600.0093219280243,1639.0,140.3227191761402
34,4,5,True,40,1,0.7915836915055664,3600.0142290592194,2007.0,156.67853944838052
35,0,5,True,40,2,0.8112092968417626,3600.007709980011,2220.0,134.62866320124718
36,1,5,True,40,2,0.7950325169658251,3600.027325153351,2269.0,121.21814936115683
37,2,5,True,40,2,0.7888350799144115,3600.0368909835815,2503.0,105.84685151680063
38,3,5,True,40,2,0.8211814146353824,3600.00647687912,2562.0,121.93771294518054
